Site,Plot,X,Y,TP,Comments,Sex,Pollination,Jun-21-2021,Jun-23-2021,Jun-25-2021,Jun-28-2021,Jun-29-2021,Jun-30-2021,Jul-2-2021,Jul-5-2021,Jul-8-2021,Jul-12-2021,Jul-14-2021,Jul-16-2021,Jul-19-2021,Jul-21-2021,Jul-23-2021,Jul-26-2021
T2,CB,87,-14,YC,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T2,CB,97,38,YS,,H,,0,0,0,4,,,11,16,16,9,5,2,0,0,,
T2,CB,137,-34,GD,,F,,0,0,0,0,,1,2,7,9,4,2,2,0,0,,
T2,CB,138,-7,BH,,F,,0,0,0,3,,7,17,15,15,3,1,0,0,,,
T2,CB,140,25,WH,,,,0,0,0,0,,,0,0,0,0,,,,,,
T2,CB,230,-50,WC,,H,,0,0,0,0,,1,1,0,0,0,,,,,,
T2,CB,260,36,BC,,H,,0,0,0,10,,,6,4,3,1,0,0,0,,,
T2,CB,315,14,RC,,H,,0,0,0,2,,,2,1,0,0,,,,,,
T2,CB,320,14,BS,,,,0,0,0,5,,,1,1,0,0,,,,,,
T2,CB,330,-13,RS,TP slightly right,F,,0,0,0,6,,6,9,6,0,0,,,,,,
T2,CB,330,15,GD,,F,,0,0,0,4,,,2,4,2,1,0,0,0,,,
T2,CB,372,27,YD,small,,,0,0,0,0,,,0,0,0,0,,,,,,
T2,CB,500,30,OS,,F,,0,0,0,2,,,7,8,9,7,4,4,2,2,,0
T2,CB,504,6,GD,"ST, incl pc down",H,,0,0,0,3,,,0,0,0,0,,,,,,
T2,CB,513,1,RH,,,,0,0,0,0,,,0,0,0,0,,,,,,
T2,CB,516,4,YS,,,,0,0,0,0,,,0,0,0,0,,,,,,
T2,CB,523,-46,OS,,H,,0,0,0,0,,3,2,2,2,0,0,,,,,
T2,CB,617,-31,YD,Very close to x = 617 TP = OD,,,0,0,0,0,,B,0,0,0,0,0,,,,,
T2,CB,617,-26,OD,Very close to x = 617 TP = YD,,,0,0,0,0,,0,0,0,0,0,,,,,,
T2,CB,623,-31,BC,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T2,CB,630,28,RC,Dead?,,,0,0,0,0,,,0,0,0,0,,,,,,
T2,CB,641,1,OD,"2 plts! Fem = left, H = right",,,0,0,0,0,,,0,0,0,0,,,,,,
T2,CB,653,1,YS,TP top left,,,0,0,0,0,,,0,0,0,0,,,,,,
T2,CB,690,31,BC,,,,0,0,0,0,,,0,0,0,1,0,0,1,1,,0
T2,CB,702,-47,GS,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T2,CB,706,27,GD,,,,0,0,0,0,,,0,0,0,0,,,,,,
T2,CB,711,6,WC,"ST, TP top left by RD",H,,0,0,0,8,,,24,31,25,6,5,5,1,1,,0
T2,CB,718,-3,RD,"ST, 2PCS",H,,0,0,0,0,,0,35,33,25,0,,,,,,
T2,CB,762,-2,WC,DB,H,,0,0,0,15,,0,4,0,0,0,,,,,,
T2,CB,793,31,RH,,H,,0,0,0,9,,,11,16,11,6,2,2,1,0,,0
T2,CB,798,43,OS,,,,0,0,0,0,,,0,0,0,0,,,,,,
T2,CB,832,-39,WD,,F,,0,0,0,0,,0,0,0,0,0,,,,,,
T2,CB,837,-7,GD,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T2,CB,843,-32,RS,,H,,0,0,0,0,,1,8,8,1,0,0,,,,,
T2,CB,850,-20,OD,,F,,0,0,0,7,,8,24,27,22,4,2,0,0,0,,
T2,CB,852,44,YH,TP top right,,,0,0,0,0,,,0,0,0,0,,,,,,
T2,CB,855,20,YS,2 PCS,,,0,0,0,0,,,0,0,0,0,,,,,,
T2,CB,858,-27,YD,small,,,0,0,0,0,,0,0,0,0,0,,,,,,
T2,CB,860,0,BH,ST,F,,0,0,0,8,,,32,43,51,18,6,6,3,1,,0
T2,CB,870,-36,RH,phlox,H,,0,0,0,3,,3,2,3,1,2,1,1,0,0,,
T2,CB,873,44,GD,,H,,0,0,0,0,,,0,0,0,0,,,,,,
T2,CB,877,0,WH,split through transect,H,,0,0,0,3,,,7,8,5,4,4,3,0,0,,0
T2,CB,892,-34,OH,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T2,CB,894,14,RC,,,,0,0,0,0,,,0,0,0,0,,,,,,
T2,CB,933,24,BH,"DB, many parts",H,,0,0,0,13,,,34,24,22,11,3,3,1,0,,0
T2,CB,980,-39,BC,,F,,0,0,0,8,,4,6,9,7,2,2,1,0,0,,
T2,CB,1068,37,BH,huge,F,,0,0,0,12,,,19,22,13,1,0,0,0,0,,
T2,CB,1100,20,RC,,F,,0,0,0,8,,,20,26,28,14,6,2,0,0,,
T2,CB,1113,-10,OC,,H,,0,0,0,5,,15,24,25,7,2,2,2,0,0,,
T2,CB,1117,-44,GS,,H,,0,0,0,1,,1,2,3,2,5,3,1,0,0,,
T2,CB,1217,15,YH,added super late on 7/12,F,,,,,,,,,,,1,1,1,0,,,
T2,CB,1220,-48,WC,,H,,0,0,0,0,,6,10,11,11,5,2,1,0,0,,
T2,E,1,4,RH,,,,0,0,0,0,,5,0,0,0,0,,,,,,
T2,E,17,-18,BH,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T2,E,103,46,BC,,F,,14,27,23,3,,1,1,1,0,0,,,,,,
T2,E,120,-33,YS,DB,F,,B,B,B,B,,0,1,2,2,0,0,,,,,
T2,E,186,4,GD,ST,H,,B,2,5,5,,17,42,65,67,22,21,16,8,3,,0
T2,E,194,-30,OH,"2 small PCS, DB",H,,B,B,B,B,,0,B,1,2,5,3,0,1,0,,0
T2,E,195,-38,BH,!PHL,H,,B,B,3,4,,6,15,41,65,16,15,8,4,0,,0
T2,E,235,-35,RH,,H,,B,B,B,B,,0,B,6,6,1,1,0,0,,,
T2,E,258,-20,BH,DB,F,,B,B,1,9,,6,68,84,46,4,2,0,1,0,,0
T2,E,265,-10,GD,Dead,,,0,0,0,0,,0,-,0,0,0,,,,,,
T2,E,265,5,WH,"3 PCS, spans tape",H,,B,B,1,9,,14,16,29,21,10,10,5,3,1,,0
T2,E,280,-34,YD,,H,,B,1,11,12,,17,53,77,48,19,8,3,0,0,,
T2,E,288,34,OS,"small, !PHL",,,0,B,B,0,,0,0,0,0,0,,,,,,
T2,E,297,-32,RC,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T2,E,305,40,BC,2 PCS,H,,B,1,4,7,,4,40,113,135,85,78,42,26,10,,0
T2,E,318,50,YH,,H,,2,18,14,6,,15,23,49,55,26,18,6,5,6,,0
T2,E,320,22,GS,,H,,B,B,2,2,,13,33,69,89,49,45,24,14,4,,0
T2,E,375,-38,BH,,H,,0,B,B,B,,1,3,4,2,1,2,1,0,0,,
T2,E,385,10,RD,"Huge, spans tape",H,,B,B,3,3,,16,41,91,83,52,41,15,12,7,,0
T2,E,388,38,WS,small,,,0,0,0,0,,0,0,0,0,0,,,,,,
T2,E,405,35,GD,,H,,B,1,2,2,,5,13,22,17,5,6,1,1,0,,0
T2,E,417,32,OD,,H,,B,B,1,6,,3,10,4,1,0,1,0,0,,,
T2,E,435,-11,YC,,F,,4,13,17,8,,12,9,7,1,0,0,,,,,
T2,E,442,-47,OD,"3 PCS, huge",H,,B,1,1,1,,0,0,1,3,0,1,0,0,0,,
T2,E,480,-42,GS,,,,0,0,0,0,,0,0,B,0,1,1,0,0,,,
T2,E,485,-10,BH,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T2,E,498,41,OD,,H,,B,B,B,0,,0,1,5,5,3,2,1,0,0,,
T2,E,507,0,RD,in transect middle,H,,0,B,B,0,,0,1,1,2,5,4,1,0,0,,
T2,E,509,40,YS,,F,,0,0,0,0,,0,B,1,1,0,0,,,,,
T2,E,509,49,BD,,F?,,0,0,0,0,,0,B,1,1,2,0,1,0,0,,
T2,E,519,48,WH,2 pieces,H,,0,0,B,0,,0,B,1,B,1,1,0,0,0,,
T2,E,528,0,GC,in middle,,,B,B,B,0,,0,0,0,0,0,,,,,,
T2,E,537,16,RD,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T2,E,540,-14,YH,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T2,E,545,47,YC,,,,0,0,0,0,,0,0,0,0,0,,,,,,
